cell_id,lever,notes,day_-2_pnl,day_-1_pnl,day_0_pnl,mean_pnl,min_pnl,max_pnl,std_pnl,total_maker_fills,total_taker_fills,local_total_pnl_3day,expected_official_pnl_per_day,avg_markout_1,avg_markout_5,avg_markout_20
C1_as_g1e-07,C1,"AS: gamma=1e-07, sigma=2.0, k=0.4, T=100k",2544.00,3433.00,3020.00,2999.00,2544.00,3433.00,363.24,14,755,8997.00,1804.16,2.003,1.914,1.844
C1_as_g5e-07,C1,"AS: gamma=5e-07, sigma=2.0, k=0.4, T=100k",2496.00,3462.00,2943.00,2967.00,2496.00,3462.00,394.73,16,764,8901.00,1974.40,1.993,1.904,1.822
C1_as_g2e-06,C1,"AS: gamma=2e-06, sigma=2.0, k=0.4, T=100k",2359.00,3508.00,2943.00,2936.67,2359.00,3508.00,469.10,19,770,8810.00,2244.27,1.971,1.877,1.795
