seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260417,1000,-618.4375,-0.561926,0.628832,12.622750,25,0
20260418,1000,147.0068,0.308263,0.715879,7.003238,36,0
20260419,1000,696.1016,0.683538,0.978201,6.166053,29,0
20260420,1000,-30.0801,-0.146120,0.460070,7.804029,28,0
20260421,1000,626.2461,0.711955,0.948804,5.781537,36,0
20260422,1000,94.4541,0.129987,0.602022,5.325377,21,0
20260423,1000,340.8838,0.333989,0.935119,4.134904,24,0
20260424,1000,206.9668,0.173473,0.719652,4.993227,19,0
20260425,1000,304.8965,0.249271,0.782524,5.285914,27,0
20260426,1000,977.4531,0.976181,0.907489,10.979899,26,0
20260427,1000,273.3105,0.382894,0.924274,4.066200,21,0
20260428,1000,757.8857,0.782814,0.963494,5.812902,34,0
20260429,1000,481.7373,0.529517,0.970498,4.798178,33,0
20260430,1000,142.4854,-0.086962,0.027868,10.662375,32,0
20260431,1000,456.2109,0.412698,0.928162,5.618365,32,0
20260432,1000,393.0996,0.237586,0.502774,7.273781,24,0
20260433,1000,451.0156,0.351913,0.741310,3.968015,23,0
20260434,1000,210.6709,0.353076,0.817625,5.080720,34,0
20260435,1000,12.3047,0.135189,0.318336,8.070465,34,0
20260436,1000,392.2188,0.424758,0.927745,4.392290,27,0
20260437,1000,581.2656,0.617108,0.940340,5.893261,27,0
20260438,1000,310.3867,0.308078,0.890219,4.917749,27,0
20260439,1000,603.5615,0.591296,0.931008,5.045797,28,0
20260440,1000,439.4688,0.470116,0.948255,6.039611,26,0
20260441,1000,233.4805,0.270292,0.595703,5.117413,27,0
20260442,1000,357.0068,0.421063,0.937246,5.911227,24,0
20260443,1000,466.0000,0.391503,0.875233,5.265559,29,0
20260444,1000,354.9619,0.513785,0.969257,6.599918,25,0
20260445,1000,592.8213,0.679831,0.973923,3.303281,26,0
20260446,1000,407.2891,0.446774,0.957014,3.867363,29,0
20260447,1000,650.5957,0.508470,0.668736,8.826098,22,0
20260448,1000,157.7100,0.265685,0.873144,3.296781,22,0
20260449,1000,853.8047,0.798754,0.953006,4.901922,37,0
20260450,1000,477.5146,0.582976,0.883299,6.410523,24,0
20260451,1000,310.7363,0.284631,0.848515,4.741635,20,0
20260452,1000,520.8613,0.700830,0.943817,7.199307,28,0
20260453,1000,254.9629,0.265213,0.889682,4.366888,24,0
20260454,1000,480.9922,0.688667,0.861727,7.580926,29,0
20260455,1000,625.8828,0.614864,0.844158,5.698762,23,0
