seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260456,1000,589.2246,0.543307,0.951017,4.745557,33,0
20260457,1000,247.6973,0.064883,0.032268,13.896274,23,0
20260458,1000,498.7812,0.450176,0.951186,4.231903,33,0
20260459,1000,362.4258,0.330103,0.878757,6.335882,34,0
20260460,1000,447.1162,0.515643,0.931210,5.638970,30,0
20260461,1000,765.1250,0.697935,0.965356,7.236896,31,0
20260462,1000,425.6934,0.506567,0.936668,7.816658,25,0
20260463,1000,256.0195,0.177369,0.448691,5.946102,27,0
20260464,1000,637.9824,0.681485,0.944195,9.470055,39,0
20260465,1000,197.5859,0.253407,0.323993,9.698846,28,0
20260466,1000,359.7344,0.371505,0.912570,6.242289,23,0
20260467,1000,388.9766,0.480811,0.929610,5.792646,33,0
20260468,1000,457.9277,0.511431,0.978956,3.477608,28,0
20260469,1000,303.8311,0.364648,0.803291,7.200437,32,0
20260470,1000,460.1738,0.527513,0.954527,4.330779,22,0
20260471,1000,341.3770,0.299650,0.917200,5.148447,24,0
20260472,1000,148.9287,0.174633,0.644933,4.365968,23,0
20260473,1000,616.7803,0.625687,0.965840,4.667449,28,0
20260474,1000,-138.0820,-0.232308,0.568875,6.557489,25,0
20260475,1000,409.0996,0.420234,0.954545,4.061054,31,0
20260476,1000,504.6016,0.367935,0.837809,4.903702,41,0
20260477,1000,388.2344,0.345354,0.969026,3.627122,35,0
20260478,1000,339.8477,0.297869,0.694794,7.792562,28,0
20260479,1000,-45.1816,0.143567,0.306073,7.250179,31,0
20260480,1000,380.2598,0.311318,0.767804,5.803222,21,0
20260481,1000,266.8008,0.233243,0.728025,5.826274,28,0
20260482,1000,150.2285,0.157022,0.225726,8.486931,32,0
20260483,1000,541.1523,0.661622,0.939569,7.064657,27,0
20260484,1000,96.9316,0.082516,0.288338,6.390992,23,0
20260485,1000,498.5449,0.553973,0.957840,6.987263,27,0
20260486,1000,306.8301,0.177649,0.426583,6.249486,24,0
20260487,1000,489.9346,0.480617,0.871079,9.561407,29,0
20260488,1000,714.9404,0.707084,0.948848,5.811967,33,0
20260489,1000,340.9062,0.246791,0.240664,8.214862,32,0
20260490,1000,488.4678,0.426185,0.946813,5.517923,32,0
20260491,1000,456.4971,0.521543,0.971133,3.772261,27,0
20260492,1000,643.6719,0.626413,0.794596,6.638690,36,0
20260493,1000,464.1992,0.461834,0.963352,3.676835,37,0
20260494,1000,296.1191,0.471567,0.875796,7.140903,27,0
20260495,1000,345.4668,0.396153,0.912046,5.370096,17,0
20260496,1000,490.4453,0.566229,0.861015,9.360261,27,0
20260497,1000,654.6699,0.718770,0.968324,4.858464,27,0
20260498,1000,-52.0000,-0.167916,0.247814,8.404994,27,0
20260499,1000,-232.6191,-0.227020,0.444527,8.541315,25,0
20260500,1000,588.4512,0.659333,0.953616,5.328749,32,0
20260501,1000,385.8701,0.262430,0.463441,6.067036,34,0
20260502,1000,374.4609,0.327119,0.855990,5.560474,21,0
20260503,1000,334.9902,0.318579,0.811465,4.966172,30,0
20260504,1000,440.7744,0.527990,0.901581,4.722823,33,0
20260505,1000,658.8418,0.688393,0.912320,5.863665,28,0
20260506,1000,475.4492,0.441842,0.879271,4.729099,30,0
20260507,1000,461.0000,0.384768,0.896797,3.315346,20,0
20260508,1000,673.0000,0.668254,0.903529,4.993962,28,0
20260509,1000,589.6963,0.563458,0.981284,3.945355,32,0
20260510,1000,418.3154,0.515923,0.975640,3.345546,38,0
20260511,1000,-46.9463,-0.014336,0.005562,6.683740,23,0
20260512,1000,406.6582,0.298365,0.757742,5.201581,30,0
20260513,1000,907.7139,1.146384,0.922333,5.263561,32,0
20260514,1000,577.2588,0.438492,0.872238,4.578829,33,0
20260515,1000,391.7451,0.498896,0.930858,5.142303,31,0
20260516,1000,505.0234,0.507251,0.923275,5.127831,30,0
