seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260417,1000,-1814.8164,-1.823302,0.816261,21.200818,30,0
20260418,1000,-407.7607,0.019346,0.002041,13.593288,30,0
20260419,1000,-924.6484,-0.821753,0.539566,19.176009,33,0
20260420,1000,-1259.7383,-1.535426,0.906393,22.535485,31,0
20260421,1000,-776.3594,-0.730658,0.406675,18.017314,36,0
20260422,1000,-1092.9141,-1.672643,0.912787,24.916714,28,0
20260423,1000,287.4492,0.338733,0.744162,7.203079,20,0
20260424,1000,-947.4082,-0.439254,0.338431,15.277138,26,0
20260425,1000,287.9336,0.236676,0.571140,6.919601,25,0
20260426,1000,-1012.1016,-0.704705,0.479876,21.718773,32,0
20260427,1000,287.7324,0.284068,0.902390,3.335911,22,0
20260428,1000,-1180.0547,-1.532636,0.849385,23.779291,41,0
20260429,1000,454.8389,0.426618,0.875675,9.273173,33,0
20260430,1000,-1651.3955,-2.338149,0.859111,26.457148,46,0
20260431,1000,381.0000,0.318930,0.862730,8.929384,34,0
20260432,1000,271.1133,0.081865,0.140149,7.626127,20,0
20260433,1000,68.2031,0.040045,0.003441,21.687834,30,0
20260434,1000,-2126.5703,-2.261134,0.963808,25.870476,49,0
20260435,1000,-579.7500,-0.144401,0.052354,14.837954,38,0
20260436,1000,454.4375,0.491813,0.844785,9.747179,26,0
20260437,1000,280.6367,0.018691,0.000963,20.061054,33,0
20260438,1000,-694.5605,-1.092475,0.843215,19.414085,37,0
20260439,1000,-406.9395,-0.183728,0.182867,13.921224,44,0
20260440,1000,327.5938,0.352245,0.909343,6.711004,26,0
20260441,1000,-857.4248,-0.819124,0.311620,22.118277,39,0
20260442,1000,-135.1523,0.431754,0.698087,12.888769,29,0
20260443,1000,512.5176,0.442978,0.911699,6.766322,25,0
20260444,1000,500.9873,0.668345,0.886524,9.076507,25,0
20260445,1000,-357.0078,-0.754108,0.483304,17.708862,27,0
20260446,1000,145.2344,0.207630,0.220950,15.251887,33,0
20260447,1000,-1032.2480,-0.751526,0.576581,20.293831,41,0
20260448,1000,-362.7979,0.107055,0.075342,11.836788,23,0
20260449,1000,-770.4141,-1.576039,0.793441,22.143353,48,0
20260450,1000,530.0293,0.705155,0.877795,10.640608,28,0
20260451,1000,-7.1123,0.022176,0.010903,8.765336,31,0
20260452,1000,-106.8965,-0.029022,0.002998,14.845614,40,0
20260453,1000,-754.2305,-0.763493,0.674776,15.430099,32,0
20260454,1000,-234.3428,0.129267,0.024709,19.900975,29,0
20260455,1000,-303.1387,-0.372129,0.456260,15.625275,43,0
20260456,1000,-299.6875,-0.375659,0.210839,15.566947,29,0
20260457,1000,124.4248,0.031438,0.008153,14.179974,22,0
20260458,1000,138.3594,0.165764,0.325775,9.418265,34,0
20260459,1000,-788.2578,-0.998514,0.610226,20.736323,48,0
20260460,1000,445.8232,0.537610,0.887215,7.175561,25,0
20260461,1000,252.3281,0.236866,0.548652,13.258918,37,0
20260462,1000,100.8438,0.112665,0.096679,14.551736,27,0
20260463,1000,197.8555,0.171661,0.400771,6.362519,25,0
20260464,1000,10.9648,0.121673,0.043643,16.566478,38,0
20260465,1000,301.4531,0.429091,0.605299,10.245809,19,0
20260466,1000,363.4531,0.334805,0.796116,9.270890,25,0
20260467,1000,-815.9492,-0.780399,0.445069,18.457773,44,0
20260468,1000,512.3711,0.573099,0.954099,5.727581,26,0
20260469,1000,766.2148,0.291048,0.166109,15.440647,31,0
20260470,1000,431.2461,0.550013,0.927423,5.788306,20,0
20260471,1000,47.4932,0.030762,0.012867,14.675460,25,0
20260472,1000,-978.1328,-0.785487,0.365842,21.252395,37,0
20260473,1000,-1252.9014,-1.560370,0.730526,20.182535,37,0
20260474,1000,-1125.8516,-1.761826,0.811922,24.270688,37,0
20260475,1000,-1420.0127,-1.681056,0.940495,25.160737,37,0
20260476,1000,-951.0117,-1.196935,0.674977,18.592518,54,0
20260477,1000,-282.7402,-0.064176,0.020464,13.692997,40,0
20260478,1000,-5.8428,-0.058932,0.028351,17.001291,28,0
20260479,1000,-270.7217,0.096720,0.164195,9.267514,30,0
20260480,1000,424.2979,0.442758,0.710330,11.491822,19,0
20260481,1000,274.9688,0.140851,0.079998,16.190860,33,0
20260482,1000,-571.7754,-0.556171,0.516053,21.081058,38,0
20260483,1000,716.3906,0.694451,0.937800,8.673724,30,0
20260484,1000,-771.0859,-1.143151,0.805114,22.543548,32,0
20260485,1000,140.4639,0.301807,0.594116,11.765903,25,0
20260486,1000,251.6602,0.109361,0.268457,7.962760,27,0
20260487,1000,329.8213,0.320327,0.907465,7.146398,24,0
20260488,1000,708.5869,0.682915,0.913804,7.997443,29,0
20260489,1000,-143.0166,-0.431201,0.163423,18.303202,37,0
20260490,1000,-674.1904,-0.820901,0.715601,20.106059,34,0
20260491,1000,-309.0967,-0.097914,0.113247,12.993560,29,0
20260492,1000,436.1172,0.498175,0.696657,9.841698,38,0
20260493,1000,702.2871,0.513817,0.751469,14.023056,35,0
20260494,1000,84.6328,0.563044,0.637062,14.951692,35,0
20260495,1000,-246.5527,-0.316795,0.669331,14.632154,26,0
20260496,1000,363.4961,0.452851,0.851755,12.887559,24,0
20260497,1000,302.1035,0.348825,0.619121,11.032789,31,0
20260498,1000,-2251.3477,-2.805609,0.964229,24.433102,36,0
20260499,1000,-619.6992,-1.319971,0.769638,22.582762,36,0
20260500,1000,333.9961,0.484292,0.797556,10.241412,34,0
20260501,1000,-845.0293,-1.295137,0.674317,22.280817,56,0
20260502,1000,-644.5625,-0.470625,0.372305,22.213184,38,0
20260503,1000,283.1914,0.253463,0.623109,5.607407,30,0
20260504,1000,78.5449,-0.112422,0.055551,16.126689,30,0
20260505,1000,403.3672,0.477343,0.877785,7.114759,26,0
20260506,1000,-1188.9102,-1.612895,0.706386,21.937645,32,0
20260507,1000,795.6318,0.599144,0.665398,12.487356,24,0
20260508,1000,-1255.5342,-1.459062,0.760558,21.054311,30,0
20260509,1000,-1124.0811,-0.851525,0.474255,22.107682,38,0
20260510,1000,332.0000,0.390035,0.978380,3.996025,32,0
20260511,1000,-245.8926,-0.171377,0.368823,10.100499,28,0
20260512,1000,34.5859,-0.003691,0.000020,20.743569,38,0
20260513,1000,-67.0107,0.747944,0.437056,19.637351,40,0
20260514,1000,477.3623,0.314179,0.660414,9.313103,30,0
20260515,1000,-1060.9375,-1.101676,0.425313,23.124220,53,0
20260516,1000,394.8535,0.605919,0.814659,10.245600,21,0
