cell_id,lever,notes,day_-2_pnl,day_-1_pnl,day_0_pnl,mean_pnl,min_pnl,max_pnl,std_pnl,total_maker_fills,total_taker_fills,local_total_pnl_3day,expected_official_pnl_per_day,avg_markout_1,avg_markout_5,avg_markout_20
H0a_ewma10_c2,H,"ewma τ=10, skew c=2 (very fast)",3089.00,3571.00,3375.00,3345.00,3089.00,3571.00,197.92,3,677,10035.00,735.15,2.058,1.986,1.913
H0b_ewma50_c2,H,"ewma τ=50, skew c=2",2620.50,3841.00,3255.00,3238.83,2620.50,3841.00,498.40,8,743,9716.50,1271.30,1.781,1.726,1.687
H0c_ewma100_c2,H,"ewma τ=100, skew c=2",2380.00,3663.00,2941.00,2994.67,2380.00,3663.00,525.16,12,774,8984.00,1557.99,1.520,1.467,1.459
H1_ewma200_c2,H,"ewma τ=200, skew c=2",2300.00,3323.00,2228.00,2617.00,2228.00,3323.00,500.08,15,830,7851.00,1541.46,1.165,1.066,1.087
H2_ewma1000_c2,H,"ewma τ=1000, skew c=2",815.50,2419.00,891.00,1375.17,815.50,2419.00,738.74,27,907,4125.50,1234.67,0.268,0.179,0.251
H3_ewma5000_c2,H,"ewma τ=5000 (near-constant), skew c=2",232.50,2100.00,-527.00,601.83,-527.00,2100.00,1103.81,25,948,1805.50,486.80,-0.206,-0.266,-0.205
H4_ewma500_c1,H,"ewma τ=500, G5 skew c=1",1776.50,2932.00,1234.00,1980.83,1234.00,2932.00,708.10,22,871,5942.50,1544.23,0.559,0.470,0.513
H5_ewma500_c2,H,"ewma τ=500, skew c=2",1409.00,2855.00,1459.00,1907.67,1409.00,2855.00,670.18,25,884,5723.00,1638.56,0.595,0.485,0.538
H6_ewma500_cartea_b01,H,ewma τ=500 FV + Cartea alpha-skew β=0.1,697.00,1700.00,676.00,1024.33,676.00,1700.00,477.85,20,983,3073.00,665.41,0.268,0.188,0.189
