cell_id,lever,notes,day_-2_pnl,day_-1_pnl,day_0_pnl,mean_pnl,min_pnl,max_pnl,std_pnl,total_maker_fills,total_taker_fills,local_total_pnl_3day,expected_official_pnl_per_day,avg_markout_1,avg_markout_5,avg_markout_20
C2_gueant_g1e-07,C2,"Guéant: gamma=1e-07, theta=0.10",2544.00,3433.00,3020.00,2999.00,2544.00,3433.00,363.24,14,755,8997.00,1804.16,2.003,1.914,1.844
C2_gueant_g5e-07,C2,"Guéant: gamma=5e-07, theta=0.10",2544.00,3433.00,3020.00,2999.00,2544.00,3433.00,363.24,14,755,8997.00,1804.16,2.003,1.914,1.844
C2_gueant_g2e-06,C2,"Guéant: gamma=2e-06, theta=0.10",2544.00,3433.00,3020.00,2999.00,2544.00,3433.00,363.24,14,755,8997.00,1804.16,2.003,1.914,1.844
