cell_id,lever,notes,day_-2_pnl,day_-1_pnl,day_0_pnl,mean_pnl,min_pnl,max_pnl,std_pnl,total_maker_fills,total_taker_fills,local_total_pnl_3day,expected_official_pnl_per_day,avg_markout_1,avg_markout_5,avg_markout_20
L0_K2_replay,L,K2 reference,3213.50,3790.00,3486.00,3496.50,3213.50,3790.00,235.47,26,700,10489.50,3807.53,2.008,1.936,1.905
L1_K2_tighter,L,Tighter outer (2.5/3.5/5) weights 3/1/1,3223.00,3812.00,3343.00,3459.33,3223.00,3812.00,254.14,5,702,10378.00,1015.02,1.984,1.908,1.873
L2_K2_split,L,Split difference outer (2.5/4.5/7) weights 3/1/1,3328.50,3781.00,3336.00,3481.83,3328.50,3781.00,211.56,39,701,10445.50,5419.38,2.030,1.948,1.914
L4_K2_4lvl_tight,L,"4-level K2 extension (2.5/4/6/8, 3/1/1/1)",3347.50,3892.00,3366.00,3535.17,3347.50,3892.00,252.43,48,698,10605.50,6641.46,2.039,1.973,1.934
L5_K2_bigsize,L,K2 with big outer size_mults (1/3/5),3213.50,3790.00,3486.00,3496.50,3213.50,3790.00,235.47,26,700,10489.50,3807.53,2.008,1.936,1.905
L5b_K2_midsize,L,K2 with mid outer size_mults (1/2/4),3213.50,3790.00,3486.00,3496.50,3213.50,3790.00,235.47,26,700,10489.50,3807.53,2.008,1.936,1.905
L6_K2_lighter,L,K2 weights 5/2/2 (55% inner),3215.00,3920.00,3410.00,3515.00,3215.00,3920.00,297.24,31,700,10545.00,4469.34,2.025,1.947,1.908
