cell_id,lever,notes,day_-2_pnl,day_-1_pnl,day_0_pnl,mean_pnl,min_pnl,max_pnl,std_pnl,total_maker_fills,total_taker_fills,local_total_pnl_3day,expected_official_pnl_per_day,avg_markout_1,avg_markout_5,avg_markout_20
K0_J2_replay,K,J2 reference (3/1/1 on 2.5/5/8),3420.00,3950.00,3590.00,3653.33,3420.00,3950.00,220.96,61,703,10960.00,8430.86,2.075,2.002,1.967
K1_J2_heavier,K,J2 with weights 4/1/1 (67% inner),3297.00,3888.00,3364.00,3516.33,3297.00,3888.00,264.23,40,699,10549.00,5611.73,2.029,1.957,1.924
K2_J2_tight,K,"J2 with tighter outer (2.5/4/6, weights 3/1/1)",3213.50,3790.00,3486.00,3496.50,3213.50,3790.00,235.47,26,700,10489.50,3807.53,2.008,1.936,1.905
K3_J2_4lvl,K,J2 plus d=12 outer (weights 3/1/1/1),3276.50,3832.00,3636.00,3581.50,3276.50,3832.00,230.03,38,701,10744.50,5447.43,2.031,1.943,1.931
K4_J2_asym,K,"Asymmetric: buy 2.5/5/8, sell 2.5/4/6",3325.50,3889.00,3377.00,3530.50,3325.50,3889.00,254.37,36,702,10591.50,5111.83,2.038,1.961,1.933
K5_J2_asym_flip,K,"Asymmetric flipped: buy 2.5/4/6, sell 2.5/5/8",3359.50,3830.00,3552.00,3580.50,3359.50,3830.00,193.14,45,700,10741.50,6336.09,2.042,1.975,1.948
K6_J2_5lvl,K,5-level dense ladder (weights 4/1/1/1/1),3228.00,4006.00,3525.00,3586.33,3228.00,4006.00,320.56,53,700,10759.00,7337.37,2.047,1.980,1.943
