label,layer,note,off_total,off_pep,off_ash,off_pep_first25,off_pep_first50,off_pep_b0,off_pep_b1,off_pep_b2,off_pep_b3,off_pep_trades,off_pep_mkr,off_pep_tkr,off_pep_avg_size,off_pep_max_long,off_pep_max_short_fh,off_pep_near_limit,off_pep_endpos_b0,off_pep_endpos_b1,off_pep_endpos_b2,off_pep_endpos_b3,off_pep_mk1,off_pep_mk5,off_pep_mk20,local_total,local_pep,local_ash,local_pep_first25,local_pep_first50,local_pep_max_long,local_pep_max_short_fh,local_pep_near_limit,score
L4_s0_hybrid_step04,L4_execution,"L4: hybrid, step=4 on L3 survivor #0",6735.00,6212.00,523.00,1396.00,3161.50,1260.00,2094.00,1682.00,1356.00,30,0,30,6.27,77,0,568,68,77,56,50,-0.09,-0.53,0.50,207671.00,198882.00,8789.00,50432.00,99801.00,77,-17,20821,26989.90
L4_s0_hybrid_step08,L4_execution,"L4: hybrid, step=8 on L3 survivor #0",6735.00,6212.00,523.00,1396.00,3161.50,1260.00,2094.00,1682.00,1356.00,30,0,30,6.27,77,0,568,68,77,56,50,-0.09,-0.53,0.50,207671.00,198882.00,8789.00,50432.00,99801.00,77,-17,20821,26989.90
L4_s0_hybrid_step12,L4_execution,"L4: hybrid, step=12 on L3 survivor #0",6735.00,6212.00,523.00,1396.00,3161.50,1260.00,2094.00,1682.00,1356.00,30,0,30,6.27,77,0,568,68,77,56,50,-0.09,-0.53,0.50,207671.00,198882.00,8789.00,50432.00,99801.00,77,-17,20821,26989.90
L4_s1_hybrid_step04,L4_execution,"L4: hybrid, step=4 on L3 survivor #1",6735.00,6212.00,523.00,1396.00,3161.50,1260.00,2094.00,1682.00,1356.00,30,0,30,6.27,77,0,568,68,77,56,50,-0.09,-0.53,0.50,207671.00,198882.00,8789.00,50432.00,99801.00,77,-17,20821,26989.90
L4_s1_hybrid_step08,L4_execution,"L4: hybrid, step=8 on L3 survivor #1",6735.00,6212.00,523.00,1396.00,3161.50,1260.00,2094.00,1682.00,1356.00,30,0,30,6.27,77,0,568,68,77,56,50,-0.09,-0.53,0.50,207671.00,198882.00,8789.00,50432.00,99801.00,77,-17,20821,26989.90
L4_s1_hybrid_step12,L4_execution,"L4: hybrid, step=12 on L3 survivor #1",6735.00,6212.00,523.00,1396.00,3161.50,1260.00,2094.00,1682.00,1356.00,30,0,30,6.27,77,0,568,68,77,56,50,-0.09,-0.53,0.50,207671.00,198882.00,8789.00,50432.00,99801.00,77,-17,20821,26989.90
L4_s0_maker_first_step04,L4_execution,"L4: maker_first, step=4 on L3 survivor #0",6003.00,5480.00,523.00,1190.00,2600.00,1070.00,1680.00,1500.00,1410.00,6,0,6,10.00,60,0,998,60,60,60,60,-8.17,-8.17,-5.67,217962.00,209173.00,8789.00,53020.00,105561.00,60,0,23579,26894.30
L4_s0_maker_first_step08,L4_execution,"L4: maker_first, step=8 on L3 survivor #0",6003.00,5480.00,523.00,1190.00,2600.00,1070.00,1680.00,1500.00,1410.00,6,0,6,10.00,60,0,998,60,60,60,60,-8.17,-8.17,-5.67,217962.00,209173.00,8789.00,53020.00,105561.00,60,0,23579,26894.30
L4_s0_maker_first_step12,L4_execution,"L4: maker_first, step=12 on L3 survivor #0",6003.00,5480.00,523.00,1190.00,2600.00,1070.00,1680.00,1500.00,1410.00,6,0,6,10.00,60,0,998,60,60,60,60,-8.17,-8.17,-5.67,217962.00,209173.00,8789.00,53020.00,105561.00,60,0,23579,26894.30
L4_s1_maker_first_step04,L4_execution,"L4: maker_first, step=4 on L3 survivor #1",6003.00,5480.00,523.00,1190.00,2600.00,1070.00,1680.00,1500.00,1410.00,6,0,6,10.00,60,0,998,60,60,60,60,-8.17,-8.17,-5.67,217962.00,209173.00,8789.00,53020.00,105561.00,60,0,23579,26894.30
L4_s1_maker_first_step08,L4_execution,"L4: maker_first, step=8 on L3 survivor #1",6003.00,5480.00,523.00,1190.00,2600.00,1070.00,1680.00,1500.00,1410.00,6,0,6,10.00,60,0,998,60,60,60,60,-8.17,-8.17,-5.67,217962.00,209173.00,8789.00,53020.00,105561.00,60,0,23579,26894.30
L4_s1_maker_first_step12,L4_execution,"L4: maker_first, step=12 on L3 survivor #1",6003.00,5480.00,523.00,1190.00,2600.00,1070.00,1680.00,1500.00,1410.00,6,0,6,10.00,60,0,998,60,60,60,60,-8.17,-8.17,-5.67,217962.00,209173.00,8789.00,53020.00,105561.00,60,0,23579,26894.30
L4_s1_taker_first_step04,L4_execution,"L4: taker_first, step=4 on L3 survivor #1",6590.50,6067.50,523.00,1320.00,3068.00,1192.00,2066.00,1657.00,1332.50,32,0,32,6.09,76,0,482,64,76,55,49,-0.02,-0.45,0.60,206061.00,197272.00,8789.00,50441.00,99965.00,76,-17,19572,26678.30
L4_s1_taker_first_step08,L4_execution,"L4: taker_first, step=8 on L3 survivor #1",6590.50,6067.50,523.00,1320.00,3068.00,1192.00,2066.00,1657.00,1332.50,32,0,32,6.09,76,0,482,64,76,55,49,-0.02,-0.45,0.60,206061.00,197272.00,8789.00,50441.00,99965.00,76,-17,19572,26678.30
L4_s1_taker_first_step12,L4_execution,"L4: taker_first, step=12 on L3 survivor #1",6590.50,6067.50,523.00,1320.00,3068.00,1192.00,2066.00,1657.00,1332.50,32,0,32,6.09,76,0,482,64,76,55,49,-0.02,-0.45,0.60,206061.00,197272.00,8789.00,50441.00,99965.00,76,-17,19572,26678.30
L4_s0_taker_first_step04,L4_execution,"L4: taker_first, step=4 on L3 survivor #0",6590.50,6067.50,523.00,1320.00,3068.00,1192.00,2066.00,1657.00,1332.50,32,0,32,6.09,76,0,482,64,76,55,49,-0.02,-0.45,0.60,205933.00,197144.00,8789.00,50441.00,99965.00,76,-17,19346,26665.50
L4_s0_taker_first_step08,L4_execution,"L4: taker_first, step=8 on L3 survivor #0",6590.50,6067.50,523.00,1320.00,3068.00,1192.00,2066.00,1657.00,1332.50,32,0,32,6.09,76,0,482,64,76,55,49,-0.02,-0.45,0.60,205933.00,197144.00,8789.00,50441.00,99965.00,76,-17,19346,26665.50
L4_s0_taker_first_step12,L4_execution,"L4: taker_first, step=12 on L3 survivor #0",6590.50,6067.50,523.00,1320.00,3068.00,1192.00,2066.00,1657.00,1332.50,32,0,32,6.09,76,0,482,64,76,55,49,-0.02,-0.45,0.60,205933.00,197144.00,8789.00,50441.00,99965.00,76,-17,19346,26665.50
L5_no_protection,L5_protection,"L5: no_protection, floor=0→0 on L4 winner",6735.00,6212.00,523.00,1396.00,3161.50,1260.00,2094.00,1682.00,1356.00,30,0,30,6.27,77,0,568,68,77,56,50,-0.09,-0.53,0.50,207671.00,198882.00,8789.00,50432.00,99801.00,77,-17,20821,26989.90
L5_mild_slope,L5_protection,"L5: mild_slope, floor=0→10 on L4 winner",6735.00,6212.00,523.00,1396.00,3161.50,1260.00,2094.00,1682.00,1356.00,30,0,30,6.27,77,0,568,68,77,56,50,-0.09,-0.53,0.50,207671.00,198882.00,8789.00,50432.00,99801.00,77,-17,20821,26989.90
L5_mild_dd,L5_protection,"L5: mild_dd, floor=0→15 on L4 winner",6735.00,6212.00,523.00,1396.00,3161.50,1260.00,2094.00,1682.00,1356.00,30,0,30,6.27,77,0,568,68,77,56,50,-0.09,-0.53,0.50,207671.00,198882.00,8789.00,50432.00,99801.00,77,-17,20821,26989.90
L5_mild_combined,L5_protection,"L5: mild_combined, floor=0→20 on L4 winner",6735.00,6212.00,523.00,1396.00,3161.50,1260.00,2094.00,1682.00,1356.00,30,0,30,6.27,77,0,568,68,77,56,50,-0.09,-0.53,0.50,207671.00,198882.00,8789.00,50432.00,99801.00,77,-17,20821,26989.90
